,Name,Drive,NumberofSeats,Battery,Car_name_link,Efficiency_Wh_km,Fast_charge,Price.DE.,Range,Top_speed,acceleration..0.100.
0,Lucid Air Dream Edition P,All Wheel Drive,5,118.0,https://ev-database.org/car/1098/Lucid-Air-Dream-Edition-P,177,840.0,218000.0,665,270,2.7
1,Porsche Taycan Turbo S,All Wheel Drive,4,83.7,https://ev-database.org/car/1928/Porsche-Taycan-Turbo-S,195,1060.0,197740.0,430,260,2.8
2,Audi e-tron GT RS,All Wheel Drive,4,85.0,https://ev-database.org/car/1153/Audi-e-tron-GT-RS,210,1000.0,146050.0,405,250,3.3
3,Renault Zoe ZE50 R110,Front Wheel Drive,5,52.0,https://ev-database.org/car/1164/Renault-Zoe-ZE50-R110,165,230.0,36840.0,315,135,11.4
4,Tesla Model Y Performance,All Wheel Drive,5,75.0,https://ev-database.org/car/1183/Tesla-Model-Y-Performance,181,640.0,63667.0,415,250,3.7
5,Porsche Taycan 4 Cross Turismo,All Wheel Drive,4,83.7,https://ev-database.org/car/1929/Porsche-Taycan-4-Cross-Turismo,190,1080.0,103254.0,440,220,5.1
6,Renault Zoe ZE50 R135,Front Wheel Drive,5,52.0,https://ev-database.org/car/1205/Renault-Zoe-ZE50-R135,168,230.0,37840.0,310,140,9.5
7,Porsche Taycan Turbo,All Wheel Drive,4,83.7,https://ev-database.org/car/1927/Porsche-Taycan-Turbo,188,1090.0,164420.0,445,260,3.2
8,Honda e Advance,Rear Wheel Drive,4,28.5,https://ev-database.org/car/1233/Honda-e-Advance,168,180.0,39900.0,170,145,8.3
9,Porsche Taycan 4S,All Wheel Drive,4,71.0,https://ev-database.org/car/1925/Porsche-Taycan-4S,171,1020.0,114559.0,415,250,4.0
10,Porsche Taycan 4S Plus,All Wheel Drive,4,83.7,https://ev-database.org/car/1926/Porsche-Taycan-4S-Plus,174,1180.0,120081.0,480,250,4.0
11,Mercedes EQV 300 Long,Front Wheel Drive,7,90.0,https://ev-database.org/car/1240/Mercedes-EQV-300-Long,290,310.0,71626.0,310,160,12.1
12,Lexus UX 300e,Front Wheel Drive,5,64.0,https://ev-database.org/car/1943/Lexus-UX-300e,188,170.0,58000.0,340,160,7.5
13,BMW i4 eDrive40,Rear Wheel Drive,5,80.7,https://ev-database.org/car/1252/BMW-i4-eDrive40,157,800.0,59200.0,515,190,5.7
14,Renault Twingo Electric,Rear Wheel Drive,4,21.3,https://ev-database.org/car/1270/Renault-Twingo-Electric,158,,28000.0,135,135,12.6
15,Fiat 500e Cabrio 42 kWh,Front Wheel Drive,4,37.3,https://ev-database.org/car/1275/Fiat-500e-Cabrio-42-kWh,162,380.0,37990.0,230,150,9.0
16,Fiat 500e Hatchback 42 kWh,Front Wheel Drive,4,37.3,https://ev-database.org/car/1285/Fiat-500e-Hatchback-42-kWh,159,390.0,34990.0,235,150,9.0
17,Nissan Ariya 63kWh,Front Wheel Drive,5,63.0,https://ev-database.org/car/1301/Nissan-Ariya-63kWh,188,450.0,47490.0,335,160,7.5
18,Nissan Ariya 87kWh,Front Wheel Drive,5,87.0,https://ev-database.org/car/1302/Nissan-Ariya-87kWh,193,540.0,58990.0,450,160,7.6
19,Nissan Ariya e-4ORCE 87kWh - 225 kW,All Wheel Drive,5,87.0,https://ev-database.org/car/1304/Nissan-Ariya-e-4ORCE-87kWh---225-kW,215,480.0,61990.0,405,200,5.7
20,Nissan Ariya e-4ORCE 87kWh - 290 kW,All Wheel Drive,5,87.0,https://ev-database.org/car/1305/Nissan-Ariya-e-4ORCE-87kWh---290-kW,215,480.0,71490.0,405,200,5.1
21,Mercedes EQV 300 Extra-Long,Front Wheel Drive,7,90.0,https://ev-database.org/car/1315/Mercedes-EQV-300-Extra-Long,290,310.0,72519.0,310,160,12.1
22,Lucid Air Grand Touring,All Wheel Drive,5,112.0,https://ev-database.org/car/1316/Lucid-Air-Grand-Touring,168,840.0,159000.0,665,270,3.0
23,Lucid Air Touring,All Wheel Drive,5,92.0,https://ev-database.org/car/1317/Lucid-Air-Touring,159,970.0,129000.0,580,250,3.2
24,Fiat 500e Hatchback 24 kWh,Front Wheel Drive,4,21.3,https://ev-database.org/car/1327/Fiat-500e-Hatchback-24-kWh,158,230.0,30990.0,135,135,9.0
25,Fiat 500e 3+1 42 kWh,Front Wheel Drive,4,37.3,https://ev-database.org/car/1328/Fiat-500e-3plus1-42-kWh,159,390.0,36990.0,235,150,9.0
26,Citroen e-SpaceTourer M 50 kWh,Front Wheel Drive,7,46.3,https://ev-database.org/car/1341/Citroen-e-SpaceTourer-M-50-kWh,250,290.0,53640.0,185,130,12.1
27,Citroen e-SpaceTourer XL 50 kWh,Front Wheel Drive,7,46.3,https://ev-database.org/car/1342/Citroen-e-SpaceTourer-XL-50-kWh,257,290.0,54430.0,180,130,12.1
28,Citroen e-SpaceTourer M 75 kWh,Front Wheel Drive,7,68.0,https://ev-database.org/car/1343/Citroen-e-SpaceTourer-M-75-kWh,257,290.0,59640.0,265,130,13.3
29,Citroen e-SpaceTourer XL 75 kWh,Front Wheel Drive,7,68.0,https://ev-database.org/car/1344/Citroen-e-SpaceTourer-XL-75-kWh,262,280.0,60430.0,260,130,13.3
30,Opel Zafira-e Life M 50 kWh,Front Wheel Drive,7,46.3,https://ev-database.org/car/1346/Opel-Zafira-e-Life-M-50-kWh,250,290.0,63250.0,185,130,12.1
31,Opel Zafira-e Life L 50 kWh,Front Wheel Drive,7,46.3,https://ev-database.org/car/1347/Opel-Zafira-e-Life-L-50-kWh,257,290.0,64075.0,180,130,12.1
32,Opel Zafira-e Life M 75 kWh,Front Wheel Drive,7,68.0,https://ev-database.org/car/1348/Opel-Zafira-e-Life-M-75-kWh,257,290.0,69250.0,265,130,13.3
